5265.81251 17.599 0.012
5266.79609 17.767 0.016
5267.78687 17.908 0.016
5268.82630 17.870 0.015
5269.77248 17.714 0.014
5270.76156 17.597 0.013
5271.84391 17.691 0.013
5272.75785 17.940 0.022
5273.81683 17.802 0.014
5274.78262 17.877 0.018
5275.82946 17.878 0.018
5276.76422 17.649 0.014
5276.89165 17.918 0.016
5277.80062 17.644 0.015
5278.77220 17.747 0.018
5279.77987 17.941 0.021
5280.86331 17.672 0.012
5281.76642 17.795 0.016
5281.90119 17.658 0.012
5282.77882 17.726 0.017
5283.72958 17.629 0.020
5285.72410 17.910 0.030
5285.73097 17.922 0.029
5286.73537 17.876 0.020
5287.74451 17.770 0.018
5288.72103 17.608 0.016
5292.78867 17.852 0.020
5293.79948 17.798 0.016
5294.74662 17.724 0.014
5294.78402 17.818 0.013
5294.82121 17.865 0.013
5294.85128 17.890 0.014
5295.74759 17.626 0.013
5295.78596 17.742 0.013
5295.82442 17.822 0.015
5295.86236 17.869 0.014
5296.79185 17.650 0.012
5296.82632 17.711 0.012
5296.86373 17.789 0.012
5297.78498 17.643 0.012
5297.82301 17.607 0.012
5297.86080 17.687 0.011
5298.78586 17.820 0.014
5298.82372 17.620 0.013
5300.84144 17.892 0.015
5301.77494 17.743 0.015
5301.81227 17.817 0.014
5301.84979 17.876 0.016
5301.89003 17.852 0.018
5304.73529 17.912 0.022
5307.69778 17.597 0.013
5308.68905 17.692 0.015
5308.75090 17.652 0.014
5309.68680 17.884 0.020
5310.66651 17.830 0.019
5310.73246 17.855 0.018
5310.78882 17.663 0.014
5313.79500 17.864 0.021
5313.83400 17.901 0.022
5314.68275 17.651 0.020
5314.72519 17.621 0.020
5315.65143 17.939 0.034
5315.70019 17.841 0.031
5315.74817 17.655 0.021
5320.65919 17.656 0.015
5321.65853 17.891 0.023
5321.72647 17.647 0.014
5323.67738 17.940 0.022
5324.70612 17.876 0.019
5324.74525 17.821 0.015
5325.64429 17.611 0.014
5326.67331 17.646 0.014
5326.73399 17.673 0.014
5327.68748 17.620 0.013
5327.75841 17.635 0.013
5327.79730 17.710 0.015
5328.60940 17.807 0.016
5328.68340 17.874 0.016
5328.75228 17.630 0.011
5329.70711 17.897 0.019
5334.69575 17.734 0.016
5334.77654 17.669 0.013
5334.83630 17.799 0.015
5335.71991 17.894 0.015
5335.75915 17.658 0.012
5336.79303 17.634 0.015
5336.92243 17.757 0.018
5337.76900 17.901 0.016
5337.80890 17.839 0.017
5338.76654 17.839 0.017
5338.80575 17.950 0.028
5338.84704 17.805 0.024
5339.64214 17.713 0.020
5339.68196 17.617 0.018
5339.74836 17.641 0.017
5339.81362 17.879 0.020
5339.87925 17.797 0.021
5339.91917 17.663 0.022
5340.62811 17.851 0.027
5340.66579 17.824 0.020
5340.75234 17.650 0.018
5340.81005 17.709 0.025
5340.84807 17.877 0.024
5340.88654 17.904 0.020
5340.92415 17.832 0.024
5341.59832 17.803 0.019
5341.67149 17.911 0.017
5341.74287 17.644 0.015
5341.81744 17.652 0.015
5341.85564 17.776 0.017
5341.89338 17.865 0.018
5341.93357 17.887 0.023
5342.60766 17.696 0.022
5342.64514 17.803 0.024
5342.68276 17.900 0.020
5342.72027 17.801 0.019
5343.58840 17.625 0.023
5343.62601 17.692 0.023
5343.66369 17.756 0.020
5343.70143 17.871 0.021
5343.73943 17.904 0.022
